,idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,NumeroFemmineNateMorte,NumeroMaschiNatiMorti,DataAborto,TipoAborto,identifying_column
0,-9223372036210256653,-9223372036848283987,76.0,PZ,C4,11,20,11,2017,1.0,,2017-11-20,T,-9223372036848283987_2017-11-20
1,-9223372036210256652,-9223372036848283463,76.0,PZ,C4,11,19,12,2017,1.0,,2017-12-19,T,-9223372036848283463_2017-12-19
2,-9223372036210256655,-9223372036848653738,76.0,PZ,C4,11,22,12,2017,1.0,,2017-12-22,T,-9223372036848653738_2017-12-22
3,-9223372036210254697,-9223372036849431019,1.0,TO,C4,11,10,1,2018,1.0,,2018-01-10,T,-9223372036849431019_2018-01-10
4,-9223372036210256654,-9223372036848651739,76.0,PZ,C4,11,10,1,2018,1.0,,2018-01-10,T,-9223372036848651739_2018-01-10
5,-9223372036210256260,-9223372036850350304,25.0,BL,C4,11,3,2,2018,1.0,,2018-02-03,T,-9223372036850350304_2018-02-03
6,-9223372036210250231,-9223372036848916612,17.0,BS,C4,11,20,3,2018,,1.0,2018-03-20,T,-9223372036848916612_2018-03-20
7,-9223372036210256656,-9223372036849602469,76.0,PZ,C4,11,20,5,2018,1.0,,2018-05-20,T,-9223372036849602469_2018-05-20
8,-9223372036210256671,-9223372036850381396,24.0,VI,C4,11,1,5,2018,,1.0,2018-05-01,T,-9223372036850381396_2018-05-01
9,-9223372036210251506,-9223372036848171404,4.0,CN,C4,11,14,6,2018,1.0,,2018-06-14,T,-9223372036848171404_2018-06-14
10,-9223372036207913197,-9223372036840368609,14.0,SO,C4,11,29,11,2018,,,2018-11-29,P,-9223372036840368609_2018-11-29
11,-9223372036207929094,-9223372036847677587,97.0,LC,C4,11,15,11,2018,,,2018-11-15,P,-9223372036847677587_2018-11-15
12,-9223372036207944309,-9223372036848639573,1.0,TO,C4,11,15,11,2018,,1.0,2018-11-15,T,-9223372036848639573_2018-11-15
13,-9223372036210102165,-9223372036848618971,97.0,LC,C4,11,22,11,2018,,1.0,2018-11-22,P,-9223372036848618971_2018-11-22
14,-9223372036207913215,-9223372036847824248,14.0,SO,C4,11,21,12,2018,,1.0,2018-12-21,T,-9223372036847824248_2018-12-21
15,-9223372036207942458,-9223372036848656031,76.0,PZ,C4,11,10,1,2019,1.0,,2019-01-10,T,-9223372036848656031_2019-01-10
16,-9223372036207930720,-9223372036850451291,10.0,GE,C4,11,24,2,2019,,,2019-02-24,P,-9223372036850451291_2019-02-24
17,-9223372036207909226,-9223372036848630949,22.0,TN,C4,11,29,5,2019,,,2019-05-29,P,-9223372036848630949_2019-05-29
18,-9223372036207867439,-9223372036847545427,13.0,CO,C4,11,25,7,2019,,,2019-07-25,P,-9223372036847545427_2019-07-25
19,-9223372036207871580,-9223372036848612999,14.0,SO,C4,11,10,7,2019,,1.0,2019-07-10,T,-9223372036848612999_2019-07-10
20,-9223372036207875348,-9223372036848600506,22.0,TN,C4,11,8,8,2019,,,2019-08-08,P,-9223372036848600506_2019-08-08
21,-9223372036207874952,-9223372036848630206,1.0,TO,C4,11,20,10,2019,1.0,,2019-10-20,T,-9223372036848630206_2019-10-20
22,-9223372036207875353,-9223372036848603231,22.0,TN,C4,11,21,10,2019,,,2019-10-21,P,-9223372036848603231_2019-10-21
23,-9223372036207859759,-9223372036850185944,24.0,VI,C4,11,15,12,2019,,,2019-12-15,P,-9223372036850185944_2019-12-15
24,-9223372036207861183,-9223372036848595783,22.0,TN,C4,11,7,12,2019,,1.0,2019-12-07,T,-9223372036848595783_2019-12-07
25,-9223372036207861323,-9223372036849455439,17.0,BS,C4,11,20,12,2019,1.0,,2019-12-20,T,-9223372036849455439_2019-12-20
26,-9223372036207856896,-9223372036850184644,24.0,VI,C4,11,22,1,2020,1.0,,2020-01-22,T,-9223372036850184644_2020-01-22
27,-9223372036207859757,-9223372036850176209,24.0,VI,C4,11,3,1,2020,1.0,,2020-01-03,T,-9223372036850176209_2020-01-03
28,-9223372036207826469,-9223372036847545151,23.0,VR,C4,11,10,5,2020,,1.0,2020-05-10,P,-9223372036847545151_2020-05-10
29,-9223372036207813670,-9223372036849481179,25.0,BL,C4,11,4,8,2020,1.0,,2020-08-04,T,-9223372036849481179_2020-08-04
30,-9223372036207817526,-9223372036849994879,76.0,PZ,C4,11,22,8,2020,1.0,,2020-08-22,T,-9223372036849994879_2020-08-22
31,-9223372036207821381,-9223372036850526956,25.0,BL,C4,11,1,8,2020,,,2020-08-01,P,-9223372036850526956_2020-08-01
32,-9223372036207738014,-9223372036848114634,22.0,TN,C4,11,1,9,2020,,,2020-09-01,P,-9223372036848114634_2020-09-01
33,-9223372036207761400,-9223372036847544899,13.0,CO,C4,11,3,9,2020,,,2020-09-03,P,-9223372036847544899_2020-09-03
34,-9223372036207803161,-9223372036849424242,2.0,VC,C4,11,27,9,2020,1.0,,2020-09-27,T,-9223372036849424242_2020-09-27
35,-9223372036207810446,-9223372036847956713,22.0,TN,C4,11,15,9,2020,,1.0,2020-09-15,T,-9223372036847956713_2020-09-15
36,-9223372036207811059,-9223372036850176185,24.0,VI,C4,11,19,9,2020,,,2020-09-19,P,-9223372036850176185_2020-09-19
37,-9223372035803530282,-9223372036846327171,13.0,CO,C4,11,23,12,2020,,1.0,2020-12-23,T,-9223372036846327171_2020-12-23
38,-9223372035822954503,-9223372036846345511,13.0,CO,C4,11,1,12,2020,,,2020-12-01,P,-9223372036846345511_2020-12-01
39,-9223372035904407654,-9223372036847518860,16.0,BG,C4,11,30,1,2021,,,2021-01-30,T,-9223372036847518860_2021-01-30
40,-9223372036207740130,-9223372036848618626,22.0,TN,C4,11,2,1,2021,,1.0,2021-01-02,T,-9223372036848618626_2021-01-02
41,-9223372036207731013,-9223372036849226435,30.0,UD,C4,11,1,2,2021,,2.0,2021-02-01,T,-9223372036849226435_2021-02-01
42,-9223372036059663084,-9223372036849284271,30.0,UD,C4,11,19,5,2021,,,2021-05-19,P,-9223372036849284271_2021-05-19
43,-9223372036074924208,-9223372036850185920,24.0,VI,C4,11,22,5,2021,,1.0,2021-05-22,T,-9223372036850185920_2021-05-22
44,-9223372035918253118,-9223372036849793215,24.0,VI,C4,11,15,6,2021,,1.0,2021-06-15,T,-9223372036849793215_2021-06-15
45,-9223372034969250681,-9223372036847357077,17.0,BS,C4,11,20,8,2021,,1.0,2021-08-20,T,-9223372036847357077_2021-08-20
46,-9223372035822985446,-9223372036849996297,11.0,SP,C4,11,10,8,2021,,1.0,2021-08-10,T,-9223372036849996297_2021-08-10
47,-9223372035823435729,-9223372036849380126,17.0,BS,C4,11,31,8,2021,,1.0,2021-08-31,T,-9223372036849380126_2021-08-31
48,-9223372035836760821,-9223372036850362830,10.0,GE,C4,11,12,8,2021,1.0,,2021-08-12,T,-9223372036850362830_2021-08-12
49,-9223372035840079296,-9223372036848119651,22.0,TN,C4,11,13,8,2021,1.0,,2021-08-13,T,-9223372036848119651_2021-08-13
50,-9223372035488162636,-9223372036846471167,30.0,UD,C4,11,26,9,2021,,1.0,2021-09-26,T,-9223372036846471167_2021-09-26
51,-9223372035680823586,-9223372036846490129,21.0,BZ,C4,11,1,9,2021,,,2021-09-01,T,-9223372036846490129_2021-09-01
52,-9223372035801293337,-9223372036848600498,22.0,TN,C4,11,15,9,2021,,1.0,2021-09-15,T,-9223372036848600498_2021-09-15
53,-9223372035839283233,-9223372036850292329,2.0,VC,C4,11,6,9,2021,1.0,,2021-09-06,T,-9223372036850292329_2021-09-06
54,-9223372033074068747,-9223372036848629487,13.0,CO,C4,11,8,10,2021,,,2021-10-08,P,-9223372036848629487_2021-10-08
55,-9223372035314501831,-9223372036848601686,22.0,TN,C4,11,25,10,2021,1.0,,2021-10-25,T,-9223372036848601686_2021-10-25
56,-9223372035355903220,-9223372036847928649,22.0,TN,C4,11,10,10,2021,1.0,,2021-10-10,T,-9223372036847928649_2021-10-10
57,-9223372035489329682,-9223372036847567309,22.0,TN,C4,11,25,10,2021,1.0,,2021-10-25,T,-9223372036847567309_2021-10-25
58,-9223372035610168818,-9223372036848647161,22.0,TN,C4,11,4,10,2021,1.0,,2021-10-04,T,-9223372036848647161_2021-10-04
59,-9223372033074068782,-9223372036847602642,13.0,CO,C4,11,11,11,2021,,,2021-11-11,P,-9223372036847602642_2021-11-11
60,-9223372035244019131,-9223372036848597799,22.0,TN,C4,11,26,11,2021,1.0,,2021-11-26,T,-9223372036848597799_2021-11-26
61,-9223372034317103396,-9223372036848609517,13.0,CO,C4,11,1,12,2021,,,2021-12-01,P,-9223372036848609517_2021-12-01
62,-9223372035219546127,-9223372036847923534,22.0,TN,C4,11,9,12,2021,1.0,,2021-12-09,T,-9223372036847923534_2021-12-09
63,-9223372034326464542,-9223372036846254855,24.0,VI,C4,11,13,1,2022,1.0,,2022-01-13,T,-9223372036846254855_2022-01-13
64,-9223372034454609492,-9223372036850526956,25.0,BL,C4,11,25,1,2022,,,2022-01-25,P,-9223372036850526956_2022-01-25
65,-9223372034455167829,-9223372036850039796,16.0,BG,C4,11,28,1,2022,1.0,,2022-01-28,T,-9223372036850039796_2022-01-28
66,-9223372033781204161,-9223372036848006953,14.0,SO,C4,11,20,2,2022,1.0,,2022-02-20,T,-9223372036848006953_2022-02-20
67,-9223372033781204255,-9223372036848620868,14.0,SO,C4,11,3,3,2022,1.0,,2022-03-03,T,-9223372036848620868_2022-03-03
68,-9223372033761686435,-9223372036832470293,30.0,UD,C4,11,29,4,2022,,1.0,2022-04-29,T,-9223372036832470293_2022-04-29
69,-9223372033781204069,-9223372036847950571,14.0,SO,C4,11,6,4,2022,,1.0,2022-04-06,T,-9223372036847950571_2022-04-06
70,-9223372033639718866,-9223372036850381396,24.0,VI,C4,11,10,6,2022,,,2022-06-10,P,-9223372036850381396_2022-06-10
73,-9223372033172335157,-9223372036850185852,24.0,VI,C4,11,20,7,2022,1.0,,2022-07-20,T,-9223372036850185852_2022-07-20
74,-9223372033298744213,-9223372036848652750,21.0,BZ,C4,11,11,7,2022,,,2022-07-11,T,-9223372036848652750_2022-07-11
75,-9223372032752701218,-9223372036834686523,14.0,SO,C4,11,28,12,2022,,1.0,2022-12-28,T,-9223372036834686523_2022-12-28
76,-9223372032944589601,-9223372036848639291,22.0,TN,C4,11,8,12,2022,,1.0,2022-12-08,T,-9223372036848639291_2022-12-08
77,-9223372032559254854,-9223372036809171095,22.0,TN,C4,11,20,1,2023,,1.0,2023-01-20,T,-9223372036809171095_2023-01-20
78,-9223372032611970930,-9223372036849236587,25.0,BL,C4,11,15,1,2023,1.0,,2023-01-15,T,-9223372036849236587_2023-01-15
79,-9223372032715654866,-9223372036850186277,24.0,VI,C4,11,9,1,2023,1.0,,2023-01-09,T,-9223372036850186277_2023-01-09
80,-9223372032655898313,-9223372036848127411,14.0,SO,C4,11,1,2,2023,,1.0,2023-02-01,T,-9223372036848127411_2023-02-01
81,-9223372032265909058,-9223372036850280161,13.0,CO,C4,11,5,4,2023,,1.0,2023-04-05,T,-9223372036850280161_2023-04-05
82,-9223372032329914119,-9223372036845177991,22.0,TN,C4,11,17,4,2023,,,2023-04-17,P,-9223372036845177991_2023-04-17
83,-9223372031304152408,-9223372036845702909,21.0,BZ,C4,11,10,9,2023,,,2023-09-10,T,-9223372036845702909_2023-09-10
84,-9223372031509124446,-9223372036848113803,22.0,TN,C4,11,15,9,2023,,1.0,2023-09-15,T,-9223372036848113803_2023-09-15
85,-9223372030016034068,-9223372036847525635,17.0,BS,C4,11,25,11,2023,1.0,,2023-11-25,T,-9223372036847525635_2023-11-25
86,-9223372031113697665,-9223372036845054507,30.0,UD,C4,11,20,11,2023,,,2023-11-20,P,-9223372036845054507_2023-11-20
87,-9223372031315597607,-9223372036847886839,2.0,VC,C4,11,10,11,2023,,,2023-11-10,P,-9223372036847886839_2023-11-10
88,-9223372030929942796,-9223372036849203076,2.0,VC,C4,11,20,12,2023,,,2023-12-20,P,-9223372036849203076_2023-12-20
89,-9223372030679630845,-9223372036848591190,22.0,TN,C4,11,17,1,2024,,1.0,2024-01-17,T,-9223372036848591190_2024-01-17
90,-9223372030508125539,-9223372036844713994,22.0,TN,C4,11,21,2,2024,,1.0,2024-02-21,T,-9223372036844713994_2024-02-21
91,-9223372030548813970,-9223372036832398697,30.0,UD,C4,11,14,2,2024,1.0,,2024-02-14,T,-9223372036832398697_2024-02-14
92,-9223372030627154832,-9223372036835115115,24.0,VI,C4,11,9,2,2024,1.0,,2024-02-09,T,-9223372036835115115_2024-02-09
93,-9223372030091139197,-9223372036848633332,97.0,LC,C4,11,9,4,2024,,1.0,2024-04-09,T,-9223372036848633332_2024-04-09
94,-9223372030095894406,-9223372036850185920,24.0,VI,C4,11,16,4,2024,,1.0,2024-04-16,T,-9223372036850185920_2024-04-16
95,-9223372030107501887,-9223372036849356394,97.0,LC,C4,11,22,4,2024,,1.0,2024-04-22,T,-9223372036849356394_2024-04-22
96,-9223372030211512541,-9223372036849284443,1.0,TO,C4,11,10,4,2024,,1.0,2024-04-10,T,-9223372036849284443_2024-04-10
97,-9223372030050623823,-9223372036845250122,17.0,BS,C4,11,20,5,2024,,,2024-05-20,P,-9223372036845250122_2024-05-20
98,-9223372029889454608,-9223372036845120234,22.0,TN,C4,11,24,6,2024,,1.0,2024-06-24,T,-9223372036845120234_2024-06-24
99,-9223372029449009454,-9223372036848591709,22.0,TN,C4,11,14,7,2024,,,2024-07-14,P,-9223372036848591709_2024-07-14
100,-9223372029585443080,-9223372036828942505,21.0,BZ,C4,11,18,7,2024,,,2024-07-18,T,-9223372036828942505_2024-07-18
101,-9223372029741708534,-9223372036845316228,16.0,BG,C4,11,1,7,2024,,1.0,2024-07-01,T,-9223372036845316228_2024-07-01
102,-9223372029500770789,-9223372036832303032,14.0,SO,C4,11,11,8,2024,,,2024-08-11,P,-9223372036832303032_2024-08-11
103,-9223372029339148847,-9223372036808116176,1.0,TO,C4,11,1,9,2024,,1.0,2024-09-01,T,-9223372036808116176_2024-09-01
104,-9223372029363944616,-9223372036848595787,22.0,TN,C4,11,14,9,2024,,1.0,2024-09-14,T,-9223372036848595787_2024-09-14
