,idMisuraPrimaria,idAnimale,codiceIstat,siglaProvincia,codiceSpecieAIA,codiceRazzaAIA,giorno,mese,anno,Ibr,DataAnalisiIbr,NumeroCampioneIbr,full_date,identifying_column
0,-9223372036213197894,-9223372036848633100,1,TO,C4,11,1,12,2017,Negativo,2017-12-01,76039189.0,2017-12-01,-9223372036848633100_2017-12-01
1,-9223372036213117344,-9223372036850092192,1,TO,C4,11,30,3,2018,Negativo,2018-03-30,75845693.0,2018-03-30,-9223372036850092192_2018-03-30
2,-9223372036213117882,-9223372036849048113,1,TO,C4,11,30,3,2018,Positivo,2018-03-30,75845118.0,2018-03-30,-9223372036849048113_2018-03-30
3,-9223372036213119792,-9223372036849084252,1,TO,C4,11,29,3,2018,Negativo,2018-03-29,76072729.0,2018-03-29,-9223372036849084252_2018-03-29
4,-9223372036213120929,-9223372036849090450,1,TO,C4,11,30,3,2018,Positivo,2018-03-30,75844906.0,2018-03-30,-9223372036849090450_2018-03-30
5,-9223372036213127034,-9223372036850548395,1,TO,C4,11,22,3,2018,Positivo,2018-03-22,75945390.0,2018-03-22,-9223372036850548395_2018-03-22
6,-9223372036213127221,-9223372036849919083,1,TO,C4,11,29,3,2018,Negativo,2018-03-29,76096023.0,2018-03-29,-9223372036849919083_2018-03-29
7,-9223372036213127233,-9223372036850191155,1,TO,C4,11,2,3,2018,Negativo,2018-03-02,75737333.0,2018-03-02,-9223372036850191155_2018-03-02
8,-9223372036213128345,-9223372036849396403,1,TO,C4,11,30,3,2018,Negativo,2018-03-30,75845606.0,2018-03-30,-9223372036849396403_2018-03-30
9,-9223372036213129553,-9223372036850096099,1,TO,C4,11,30,3,2018,Negativo,2018-03-30,75845736.0,2018-03-30,-9223372036850096099_2018-03-30
10,-9223372036213130311,-9223372036850548550,1,TO,C4,11,22,3,2018,Positivo,2018-03-22,75945459.0,2018-03-22,-9223372036850548550_2018-03-22
11,-9223372036213130714,-9223372036849121430,1,TO,C4,11,30,3,2018,Negativo,2018-03-30,75845472.0,2018-03-30,-9223372036849121430_2018-03-30
12,-9223372036213130741,-9223372036850034775,1,TO,C4,11,30,3,2018,Positivo,2018-03-30,75845277.0,2018-03-30,-9223372036850034775_2018-03-30
13,-9223372036213131757,-9223372036850028546,1,TO,C4,11,30,3,2018,Positivo,2018-03-30,75844955.0,2018-03-30,-9223372036850028546_2018-03-30
14,-9223372036213133176,-9223372036848627098,1,TO,C4,11,29,3,2018,Negativo,2018-03-29,76141005.0,2018-03-29,-9223372036848627098_2018-03-29
15,-9223372036213133386,-9223372036850034758,1,TO,C4,11,30,3,2018,Positivo,2018-03-30,75844990.0,2018-03-30,-9223372036850034758_2018-03-30
16,-9223372036213133890,-9223372036850034593,1,TO,C4,11,30,3,2018,Positivo,2018-03-30,75844950.0,2018-03-30,-9223372036850034593_2018-03-30
17,-9223372036213135273,-9223372036849919040,1,TO,C4,11,29,3,2018,Negativo,2018-03-29,76095850.0,2018-03-29,-9223372036849919040_2018-03-29
18,-9223372036213136968,-9223372036849082316,1,TO,C4,11,30,3,2018,Positivo,2018-03-30,75844982.0,2018-03-30,-9223372036849082316_2018-03-30
19,-9223372036213136983,-9223372036848656767,1,TO,C4,11,29,3,2018,Negativo,2018-03-29,76095695.0,2018-03-29,-9223372036848656767_2018-03-29
20,-9223372036213137372,-9223372036848624979,1,TO,C4,11,22,3,2018,Positivo,2018-03-22,75945458.0,2018-03-22,-9223372036848624979_2018-03-22
21,-9223372036213137737,-9223372036849082293,1,TO,C4,11,30,3,2018,Positivo,2018-03-30,75845136.0,2018-03-30,-9223372036849082293_2018-03-30
22,-9223372036213138127,-9223372036849062413,1,TO,C4,11,30,3,2018,Positivo,2018-03-30,75844830.0,2018-03-30,-9223372036849062413_2018-03-30
23,-9223372036213138514,-9223372036848655037,1,TO,C4,11,29,3,2018,Negativo,2018-03-29,76140719.0,2018-03-29,-9223372036848655037_2018-03-29
24,-9223372036213140541,-9223372036848620248,1,TO,C4,11,20,3,2018,Negativo,2018-03-20,75745836.0,2018-03-20,-9223372036848620248_2018-03-20
25,-9223372036213141441,-9223372036850228149,1,TO,C4,11,20,3,2018,Negativo,2018-03-20,76104378.0,2018-03-20,-9223372036850228149_2018-03-20
26,-9223372036213141571,-9223372036848633100,1,TO,C4,11,2,3,2018,Negativo,2018-03-02,76102964.0,2018-03-02,-9223372036848633100_2018-03-02
27,-9223372036213142615,-9223372036850228497,1,TO,C4,11,20,3,2018,Negativo,2018-03-20,76104683.0,2018-03-20,-9223372036850228497_2018-03-20
28,-9223372036213145531,-9223372036850028521,1,TO,C4,11,30,3,2018,Positivo,2018-03-30,75845133.0,2018-03-30,-9223372036850028521_2018-03-30
29,-9223372036213147438,-9223372036850548466,1,TO,C4,11,22,3,2018,Positivo,2018-03-22,75945601.0,2018-03-22,-9223372036850548466_2018-03-22
30,-9223372036213148276,-9223372036849627215,1,TO,C4,11,20,3,2018,Negativo,2018-03-20,76104244.0,2018-03-20,-9223372036849627215_2018-03-20
31,-9223372036213150204,-9223372036850034876,1,TO,C4,11,30,3,2018,Positivo,2018-03-30,75939997.0,2018-03-30,-9223372036850034876_2018-03-30
32,-9223372036213150703,-9223372036850092206,1,TO,C4,11,30,3,2018,Negativo,2018-03-30,75845677.0,2018-03-30,-9223372036850092206_2018-03-30
33,-9223372036213151923,-9223372036849919128,1,TO,C4,11,29,3,2018,Negativo,2018-03-29,76140884.0,2018-03-29,-9223372036849919128_2018-03-29
34,-9223372036213152923,-9223372036849082497,1,TO,C4,11,30,3,2018,Positivo,2018-03-30,75845004.0,2018-03-30,-9223372036849082497_2018-03-30
35,-9223372036213154158,-9223372036848654485,1,TO,C4,11,29,3,2018,Negativo,2018-03-29,76140867.0,2018-03-29,-9223372036848654485_2018-03-29
36,-9223372036213155003,-9223372036849053591,1,TO,C4,11,29,3,2018,Negativo,2018-03-29,76140757.0,2018-03-29,-9223372036849053591_2018-03-29
37,-9223372036213156896,-9223372036849088408,1,TO,C4,11,30,3,2018,Positivo,2018-03-30,75940132.0,2018-03-30,-9223372036849088408_2018-03-30
38,-9223372036213158624,-9223372036848657386,1,TO,C4,11,31,3,2018,Positivo,2018-03-31,76130073.0,2018-03-31,-9223372036848657386_2018-03-31
39,-9223372036213160476,-9223372036849057040,1,TO,C4,11,30,3,2018,Positivo,2018-03-30,75845274.0,2018-03-30,-9223372036849057040_2018-03-30
40,-9223372036213160699,-9223372036850034829,1,TO,C4,11,30,3,2018,Positivo,2018-03-30,75845403.0,2018-03-30,-9223372036850034829_2018-03-30
41,-9223372036213162058,-9223372036849919002,1,TO,C4,11,29,3,2018,Negativo,2018-03-29,76095771.0,2018-03-29,-9223372036849919002_2018-03-29
42,-9223372036213162103,-9223372036850096118,1,TO,C4,11,30,3,2018,Negativo,2018-03-30,75845660.0,2018-03-30,-9223372036850096118_2018-03-30
43,-9223372036213162198,-9223372036850095852,1,TO,C4,11,30,3,2018,Negativo,2018-03-30,75845908.0,2018-03-30,-9223372036850095852_2018-03-30
44,-9223372036213162298,-9223372036849060156,1,TO,C4,11,22,3,2018,Positivo,2018-03-22,75945466.0,2018-03-22,-9223372036849060156_2018-03-22
45,-9223372036213162455,-9223372036849152794,1,TO,C4,11,30,3,2018,Positivo,2018-03-30,75844951.0,2018-03-30,-9223372036849152794_2018-03-30
46,-9223372036213163777,-9223372036849918916,1,TO,C4,11,29,3,2018,Negativo,2018-03-29,76095698.0,2018-03-29,-9223372036849918916_2018-03-29
47,-9223372036213164275,-9223372036850096128,1,TO,C4,11,30,3,2018,Negativo,2018-03-30,75845654.0,2018-03-30,-9223372036850096128_2018-03-30
48,-9223372036213164442,-9223372036850229072,1,TO,C4,11,20,3,2018,Negativo,2018-03-20,76104255.0,2018-03-20,-9223372036850229072_2018-03-20
49,-9223372036213164843,-9223372036849156003,1,TO,C4,11,31,3,2018,Positivo,2018-03-31,76095842.0,2018-03-31,-9223372036849156003_2018-03-31
50,-9223372036213164964,-9223372036849136845,1,TO,C4,11,29,3,2018,Negativo,2018-03-29,76140971.0,2018-03-29,-9223372036849136845_2018-03-29
51,-9223372036213165147,-9223372036850034849,1,TO,C4,11,30,3,2018,Positivo,2018-03-30,75940365.0,2018-03-30,-9223372036850034849_2018-03-30
52,-9223372036213165265,-9223372036850228574,1,TO,C4,11,20,3,2018,Negativo,2018-03-20,76104727.0,2018-03-20,-9223372036850228574_2018-03-20
53,-9223372036213165311,-9223372036849048714,1,TO,C4,11,29,3,2018,Negativo,2018-03-29,76095868.0,2018-03-29,-9223372036849048714_2018-03-29
54,-9223372036213166749,-9223372036849048423,1,TO,C4,11,30,3,2018,Negativo,2018-03-30,75845624.0,2018-03-30,-9223372036849048423_2018-03-30
55,-9223372036213167004,-9223372036850034632,1,TO,C4,11,30,3,2018,Positivo,2018-03-30,75844963.0,2018-03-30,-9223372036850034632_2018-03-30
56,-9223372036213167440,-9223372036850095788,1,TO,C4,11,30,3,2018,Negativo,2018-03-30,75845838.0,2018-03-30,-9223372036850095788_2018-03-30
57,-9223372036213167479,-9223372036850298683,1,TO,C4,11,3,3,2018,Negativo,2018-03-03,75947020.0,2018-03-03,-9223372036850298683_2018-03-03
58,-9223372036213168211,-9223372036850028804,1,TO,C4,11,24,3,2018,Negativo,2018-03-24,75842590.0,2018-03-24,-9223372036850028804_2018-03-24
59,-9223372036213168716,-9223372036850095830,1,TO,C4,11,30,3,2018,Negativo,2018-03-30,75845679.0,2018-03-30,-9223372036850095830_2018-03-30
60,-9223372036213168762,-9223372036849052669,1,TO,C4,11,29,3,2018,Negativo,2018-03-29,76141026.0,2018-03-29,-9223372036849052669_2018-03-29
61,-9223372036213169754,-9223372036849396237,1,TO,C4,11,30,3,2018,Negativo,2018-03-30,75845767.0,2018-03-30,-9223372036849396237_2018-03-30
62,-9223372036213170233,-9223372036850548474,1,TO,C4,11,22,3,2018,Positivo,2018-03-22,75945752.0,2018-03-22,-9223372036850548474_2018-03-22
63,-9223372036213170650,-9223372036848656035,1,TO,C4,11,22,3,2018,Negativo,2018-03-22,75945679.0,2018-03-22,-9223372036848656035_2018-03-22
64,-9223372036213171513,-9223372036850095839,1,TO,C4,11,30,3,2018,Negativo,2018-03-30,75845514.0,2018-03-30,-9223372036850095839_2018-03-30
65,-9223372036213174017,-9223372036850095752,1,TO,C4,11,30,3,2018,Negativo,2018-03-30,75845526.0,2018-03-30,-9223372036850095752_2018-03-30
66,-9223372036213177057,-9223372036848625548,1,TO,C4,11,29,3,2018,Negativo,2018-03-29,76140928.0,2018-03-29,-9223372036848625548_2018-03-29
67,-9223372036213178411,-9223372036850095794,1,TO,C4,11,30,3,2018,Negativo,2018-03-30,75845628.0,2018-03-30,-9223372036850095794_2018-03-30
68,-9223372036213181143,-9223372036850095759,1,TO,C4,11,30,3,2018,Negativo,2018-03-30,75845878.0,2018-03-30,-9223372036850095759_2018-03-30
69,-9223372036213181444,-9223372036850034605,1,TO,C4,11,30,3,2018,Positivo,2018-03-30,75940116.0,2018-03-30,-9223372036850034605_2018-03-30
70,-9223372036213181965,-9223372036850095860,1,TO,C4,11,30,3,2018,Negativo,2018-03-30,75845475.0,2018-03-30,-9223372036850095860_2018-03-30
71,-9223372036213182352,-9223372036850548587,1,TO,C4,11,22,3,2018,Positivo,2018-03-22,75945402.0,2018-03-22,-9223372036850548587_2018-03-22
72,-9223372036213182738,-9223372036848629128,1,TO,C4,11,20,3,2018,Negativo,2018-03-20,76104245.0,2018-03-20,-9223372036848629128_2018-03-20
73,-9223372036213183793,-9223372036850548505,1,TO,C4,11,22,3,2018,Positivo,2018-03-22,75945401.0,2018-03-22,-9223372036850548505_2018-03-22
74,-9223372036213184160,-9223372036848640269,1,TO,C4,11,29,3,2018,Negativo,2018-03-29,76140869.0,2018-03-29,-9223372036848640269_2018-03-29
75,-9223372036213186442,-9223372036848657106,1,TO,C4,11,31,3,2018,Positivo,2018-03-31,76095707.0,2018-03-31,-9223372036848657106_2018-03-31
76,-9223372036213188506,-9223372036850095717,1,TO,C4,11,30,3,2018,Negativo,2018-03-30,75845504.0,2018-03-30,-9223372036850095717_2018-03-30
77,-9223372036213190967,-9223372036848629725,1,TO,C4,11,20,3,2018,Negativo,2018-03-20,76104687.0,2018-03-20,-9223372036848629725_2018-03-20
78,-9223372036213191676,-9223372036849087935,1,TO,C4,11,30,3,2018,Negativo,2018-03-30,75845884.0,2018-03-30,-9223372036849087935_2018-03-30
79,-9223372036213191908,-9223372036850028788,1,TO,C4,11,24,3,2018,Negativo,2018-03-24,75842642.0,2018-03-24,-9223372036850028788_2018-03-24
80,-9223372036213192441,-9223372036849084264,1,TO,C4,11,30,3,2018,Positivo,2018-03-30,75845271.0,2018-03-30,-9223372036849084264_2018-03-30
81,-9223372036213192688,-9223372036849057891,1,TO,C4,11,24,3,2018,Negativo,2018-03-24,75842429.0,2018-03-24,-9223372036849057891_2018-03-24
82,-9223372036213192828,-9223372036850548495,1,TO,C4,11,22,3,2018,Positivo,2018-03-22,75945837.0,2018-03-22,-9223372036850548495_2018-03-22
83,-9223372036213193653,-9223372036849396392,1,TO,C4,11,30,3,2018,Negativo,2018-03-30,75845592.0,2018-03-30,-9223372036849396392_2018-03-30
84,-9223372036213193911,-9223372036849090035,1,TO,C4,11,30,3,2018,Positivo,2018-03-30,75844809.0,2018-03-30,-9223372036849090035_2018-03-30
85,-9223372036213193933,-9223372036850034885,1,TO,C4,11,30,3,2018,Positivo,2018-03-30,75940329.0,2018-03-30,-9223372036850034885_2018-03-30
86,-9223372036213195150,-9223372036848658515,1,TO,C4,11,22,3,2018,Positivo,2018-03-22,75945411.0,2018-03-22,-9223372036848658515_2018-03-22
87,-9223372036213195197,-9223372036850096367,1,TO,C4,11,30,3,2018,Negativo,2018-03-30,75845555.0,2018-03-30,-9223372036850096367_2018-03-30
88,-9223372036213195996,-9223372036849919092,1,TO,C4,11,29,3,2018,Negativo,2018-03-29,76096019.0,2018-03-29,-9223372036849919092_2018-03-29
89,-9223372036213196523,-9223372036850095815,1,TO,C4,11,30,3,2018,Negativo,2018-03-30,75845600.0,2018-03-30,-9223372036850095815_2018-03-30
90,-9223372036213197045,-9223372036850096376,1,TO,C4,11,30,3,2018,Negativo,2018-03-30,75845734.0,2018-03-30,-9223372036850096376_2018-03-30
91,-9223372036213197126,-9223372036850549715,1,TO,C4,11,28,3,2018,Positivo,2018-03-28,76095948.0,2018-03-28,-9223372036850549715_2018-03-28
92,-9223372036213198635,-9223372036849081749,1,TO,C4,11,30,3,2018,Positivo,2018-03-30,75845288.0,2018-03-30,-9223372036849081749_2018-03-30
93,-9223372036213198704,-9223372036848639573,1,TO,C4,11,29,3,2018,Negativo,2018-03-29,76140677.0,2018-03-29,-9223372036848639573_2018-03-29
94,-9223372036213200112,-9223372036848630206,1,TO,C4,11,29,3,2018,Negativo,2018-03-29,76140791.0,2018-03-29,-9223372036848630206_2018-03-29
95,-9223372036213200495,-9223372036849102446,1,TO,C4,11,24,3,2018,Negativo,2018-03-24,75842818.0,2018-03-24,-9223372036849102446_2018-03-24
96,-9223372036213201431,-9223372036850508357,1,TO,C4,11,20,3,2018,Negativo,2018-03-20,10542078.0,2018-03-20,-9223372036850508357_2018-03-20
97,-9223372036213201535,-9223372036850298354,1,TO,C4,11,3,3,2018,Negativo,2018-03-03,75947011.0,2018-03-03,-9223372036850298354_2018-03-03
98,-9223372036213201580,-9223372036849053038,1,TO,C4,11,30,3,2018,Positivo,2018-03-30,75940324.0,2018-03-30,-9223372036849053038_2018-03-30
99,-9223372036213202053,-9223372036850095823,1,TO,C4,11,30,3,2018,Negativo,2018-03-30,75845746.0,2018-03-30,-9223372036850095823_2018-03-30
